,name,price,brand,cate_3,cate_4,review,date,tag
48,더운 여름 입맛과 건강을 부탁해! 세척사과/갈비탕/유산균/씨스팡관절,33390,,영양제,기타건강보조식품,40372,20200622,
49,"갱년기 영양제 추천, 폐경기 여성 건강식품, 피로회복",65000,,홍삼,,39559,20210325,
50,프리바이오틱스 프락토올리고당 FOS 5g x 30개입,9890,종근당건강,영양제,프리바이오틱스,39379,20180914,
51,종근당건강 본사 생유산균 락토핏 골드/코어 외 모음전,41900,종근당건강,영양제,프로바이오틱스,38130,20170511,"장건강,장건강생유산균,생유산균,프로바이오틱스"
52,눈에 좋은 루테인 플러스 스페셜에디션 500mg x 180캡슐,43210,안국건강,영양제,루테인,38054,20181017,
53,더워진 여름 건강 관리 필수! 매스틱검/메이준뉴트리 外,138990,프롬바이오,영양제,기타건강보조식품,37545,20200528,
54,[TV박싱데이] BEST 일반/건강식품 한자리에!,109740,,영양제,,37206,20210206,
55,우리 가족 건강 관리! BEST 건강식품 총집합,183210,셀티바,영양제,프로바이오틱스,37013,20210304,
56,추운 겨울 건강 관리 필수! 건강식품 총집합!,183210,셀티바,영양제,,36950,20191118,
57,"닥터스 베스트 Doctor’s Best High Absorption Magnesium, Albion Minerals로 100% 킬레이트화, 100mg, 120정",10163,,영양제,마그네슘,36893,20190807,
58,"닥터스 베스트 Doctor’s Best Albion Minerals로 100% 킬레이트화된 고흡수성 마그네슘, 100mg, 240정",17920,,영양제,마그네슘,36893,20190807,
59,"[~10%할인] 추운 겨울, 우리 가족 건강 관리!",146240,메이준뉴트리,영양제,프로바이오틱스,36888,20191126,
60,로트벡쉔 [로트벡쉔]환절기 면역건강 지키기 (비타민주스/유산균/홍삼),36900,로트벡쉔,영양제,프로바이오틱스,36730,20190917,
61,눈건강 영양제 루테인 4개월분,32000,,영양제,루테인,36201,20190524,
62,몸과 마음을 가볍고 깨끗하게 해주는 TV BEST 건강식품,118340,락토핏,영양제,프로바이오틱스,36141,20190306,
63,[~10%할인] 알뜰살뜰 내 건강 꿀팁! BEST 건강식품 모음전,149310,,영양제,,36109,20191127,
64,"캘리포니아 골드 뉴트리션 California Gold Nutrition Immune 4, 면역계 지원, 베지 캡슐 180정",16934,,영양제,프로바이오틱스,35866,20201114,
65,"캘리포니아 골드 뉴트리션 California Gold Nutrition Immune 4, 면역계 지원, 베지 캡슐 60정",1128,,영양제,프로바이오틱스,35866,20201031,
66,건강과 입맛 모두 챙기자! 알렉스/종근당건강 外,26880,알렉스,영양제,기타건강보조식품,35519,20210304,
67,솔가 엽산 400(100정/3개월 10일),16400,솔가,영양제,엽산,35496,20140124,"엽산영양제,엽산"
68,솔가 엽산 400(100정/3개월 10일),16400,솔가,영양제,엽산,35490,20190808,엽산영양제
69,유산균부터 LA갈비까지~ 안성맞춤 선물전,184140,,영양제,프로바이오틱스,35478,20200902,
70,[쎌티아이 베이비] 생후 처음 아기 유산균 람노서스GG 유당성분배제 가루형(1개월),40000,셀티아이,영양제,프로바이오틱스,26820,20171031,"신생아유산균,면역,아기유산균"
71,호주산 프로폴리스 6개월분,32000,,영양제,프로폴리스,35029,20190312,
72,엽산 400 275.6mg x 100정,13900,솔가,영양제,엽산,34874,20171117,
73,종근당건강 락토핏 생유산균 코어 60포 x 1통,14700,락토핏,영양제,프로바이오틱스,34755,20180909,
74,2박스(4개월분)모유 생 유산균 신바이오틱스 프로바이오틱스 포스트 바이오틱스 바디닥터스,15900,바디닥터스,영양제,프로바이오틱스,34478,20190320,
75,[블랙박싱데이] 일반/건강식품 똑똑하게 쇼핑하기,165540,,영양제,,34287,20210304,
76,폴리코사놀 총 9개월분,195690,레이델,영양제,폴리코사놀,34195,20200219,혈관
77,액티브 마그네슘 플러스 비타민D 800mg x 120개입,11400,일양약품,영양제,마그네슘,34027,20190408,
78,종근당건강 락토핏 코어 프롤린 생유산균 12개월분 (60포 X 6통),121500,락토핏,영양제,프로바이오틱스,33971,20200514,
79,뉴질랜드 프로폴리스 1000mg 캡슐 로얄 프리미엄,24900,네추럴라이즈,영양제,프로폴리스,33943,20120807,"선물하기좋은영양제,항산화,면역력에좋은차"
80,종근당건강 락토핏 생유산균 골드 50포 5통(250일분)+화이버 20포,55030,락토핏,영양제,프로바이오틱스,33776,20190603,
81,건강한 간 밀크씨슬 900mg x 30정,3910,GNM자연의품격,영양제,밀크씨슬,33764,20181120,
82,일양약품 액티브 마그네슘 플러스 비타민D 4개월분 고함량 비타민B12 비타민B6 비타민B1 비타민B2 눈떨림 영양제,11400,일양약품,영양제,마그네슘,33539,20180605,
83,"눈영양제 루테인, 직장인 눈피로 눈건강 영양제 눈에좋은영양제 추천",32000,,영양제,루테인,33121,20210325,
84,닥터프로바 드롭스 골드 D 아기 유아 모유 유산균 2개월분,38000,닥터프로바,영양제,프로바이오틱스,33024,20180922,"아기유산균,유아유산균"
85,슈퍼 프로바이오틱스 19 2g x 30포,3510,퍼펙트바이오틱스,영양제,프로바이오틱스,32727,20181119,
86,슈퍼프리 생유산균 모유프롤린lgg키즈 종근당락토핏 포스트바이오틱스 바이오스틱 신바이오틱스,19800,하루웰빙,영양제,프로바이오틱스,32530,20200701,"임산부유산균,아기유산균,신생아유산균,유아유산균,여성유산균,골드,피부유산균,질좋은,면역강화,낙산,프로바이오틱스"
87,[쎌티아이 맘] 임산부 유산균 100억 보장 식물성 캡슐 임산부/수유부용(2개월),50000,셀티아이,영양제,프로바이오틱스,19204,20180910,"임산부영양제,임산부유산균,성인유산균"
88,SMDR 데이엔딩슬립스타트 (락티움 수면 영양제 보조제),64500,,영양제,기타건강보조식품,15822,20191114,
89,면역과 건강 챙기기! 관절연골/프로틴/유산균/콜라겐,138990,,영양제,프로바이오틱스,31831,20200926,
90,"루테인 추천!, 눈에좋은영양제, 직장인 눈피로 눈건강 눈영양제",31500,,영양제,루테인,31714,20210317,
91,"나우푸드 Now Foods 울트라 오메가3, 소프트젤 90정",17417,,영양제,오메가3,31327,20190807,
92,소중한 우리 가족 건강 필수템! 녹십자/안국/씨스팡 外,165540,,영양제,기타건강보조식품,31270,20200210,
93,면역력 UP 건강 관리 필수! 트루바이타민/이경제녹용 外,155310,,영양제,,31127,20200203,
94,"나우푸드 Now Foods 분자 증류 오메가3, 소프트젤 500정",24803,,영양제,오메가3,31030,20190807,
95,"나우푸드 Now Foods 분자 증류 오메가3, 소프트젤 200정",10711,,영양제,오메가3,31030,20190807,
96,"나우푸드 Now Foods Molecularly Distilled Omega-3, 100 Softgels",6361,,영양제,,31030,20201231,
97,"면역력 UP, 우리 가족 건강 지킴이!",202970,스키니랩,영양제,기타건강보조식품,30971,20200129,
98,"[단,하루! 식품원데이 ~10%할인] 꼭 필요한 건강식품 모음전",165540,,영양제,오메가3,30877,20210217,
99,"프로폴리스 추천, 면역력 증가, 항산화 작용, 유해 활성 산소로부터 세포보호",44000,,영양제,프로폴리스,30869,20210325,
100,퓨어 알티지 오메가3 업그레이드 801mg x 60캡슐,15900,고려은단,영양제,오메가3,30838,20190327,
101,고마운 마음 담아 설 선물 준비! 건강식품 모음전,220970,스키니랩,영양제,,30065,20200102,
102,"뉴트리바이오틱 NutriBiotic Immunity, 아스코르브산 나트륨, 결정질 분말, 227g(8oz)",12689,,영양제,프로바이오틱스,30030,20200422,
103,"뉴트리바이오틱 NutriBiotic Immunity, 아스코르브산 나트륨, 결정질 분말, 1kg(2.2lb)",43600,,영양제,,30030,20201105,
104,"뉴트리바이오틱 NutriBiotic Immunity, 아스코르브산 나트륨, 결정질 분말, 454g(16oz)",21156,,영양제,프로바이오틱스,30030,20200415,
105,루클레어 넘버원 엔초비 울트라 오메가3 1302mg 캐나다 비타민D,31200,루클레어로하스,영양제,오메가3,23522,20140213,
106,나우푸드 실리마린 밀크 시슬 추출물 300mg 베지 캡슐,3500,나우푸드,영양제,밀크씨슬,29558,20200424,영양제
107,면역 건강 내몸 챙기기! 낙지/콜라겐/유산균/관절/홍삼,64080,,영양제,,29290,20210217,
108,GNM자연의품격 루테인 오메가3 5박스 5개월분 지아잔틴 아스타잔틴 헤마토코쿠스 눈영양제,24900,GNM자연의품격,영양제,루테인,29240,20170215,루테인
109,[안국건강] 안국 눈에좋은 루테인 플러스 60캡슐 2박스(4개월),30600,안국건강,영양제,루테인,28833,20200519,
110,[종근당건강] 장건강 생유산균골드 뉴 락토핏 5통(250포),70680,락토핏,영양제,프로바이오틱스,28730,20180717,
111,패밀리 프로바이오틱스 프리바이오틱스 화학부형제 없는 유산균 멀티바이오틱스,69000,프로스랩,영양제,프로바이오틱스,28693,20160826,"유산균영양제,유산균제,유아유산균"
112,환절기 건강관리에 꼭 필요한 건강식품 추천!,109740,락토핏,영양제,프로바이오틱스,28629,20181005,
113,영양과 건강 관리! 관절연골/유산균/정관장홍삼/콜라겐,138990,,영양제,프로바이오틱스,28580,20201028,
114,프리미엄 남극 블루오션 크릴오일 오메가3 인지질 추천 효능,33900,,영양제,,28443,20210312,크릴오일
115,트루락 이브 180mg x 30캡슐,46000,휴럼,영양제,프로바이오틱스,28287,20190417,
116,고려은단헬스케어 [건강식품]면역력강화비타민/홍삼/유산균/프로폴리스,64520,고려은단,영양제,프로폴리스,28196,20200204,
117,BYO CJ BYO 20억 생유산균 30포 x 3개 (총90포),20340,BYO,영양제,프로바이오틱스,27896,20190105,
118,GNM자연의품격 건강한 간 밀크씨슬 실리마린 4박스(총 4개월분),16900,GNM자연의품격,영양제,밀크씨슬,27879,20210105,
119,패밀리 프로바이오틱스 프리미엄 2g x 30포,44670,프로스랩,영양제,프로바이오틱스,27592,20170809,
120,내 몸을 위한 건강한 시작! 건강식품 모음전,119040,,영양제,프로바이오틱스,27028,20191108,
121,뉴트리코어 임산부 엽산제 60정 레몬추출엽산 NCS,39000,뉴트리코어,영양제,엽산,26841,20160415,"엽산영양제,엽산"
122,뉴트리코어 엽산 400 2개월분,39000,뉴트리코어,영양제,엽산,26826,20190808,"임산부엽산,임산부엽산제,엽산영양제,임신엽산"
123,프리바이오틱스 FOS 4000 5g x 30개입,9200,JW중외제약,영양제,프리바이오틱스,26816,20180629,
124,프리미엄 밀크씨슬 간에좋은 영양제 추천 간 보조제 피로회복,39900,,영양제,밀크씨슬,26777,20210312,
125,종근당 프리바이오틱스 프락토올리고당 FOS 분말 30포 6박스(180포) 6개월분 아연함유 유산균먹이,58900,종근당건강,영양제,프리바이오틱스,26765,20180130,"건강기능제품,장건강,유산균영양제,면역기능,유해균억제"
126,칼슘 마그네슘 아연 비타민D 3병 총 9개월분 GNM자연의품격 골다공증 칼마디 MSM,29800,GNM자연의품격,영양제,칼슘,26762,20160607,"뼈에좋은,뼈에좋은칼슘,뼈에좋은영양제,칼슘"
127,FINLANDIA [겨울 이너뷰티] 콜라겐/유산균/크릴오일 베스트 모음전,85610,핀란디아,영양제,프로바이오틱스,26223,20170614,
128,"[TV동일구성] 건강식품 BSET 상품 (아티키 그릭허니, 덴마크유산균이야기  外)",128150,팔레오,영양제,프로바이오틱스,25921,20170113,
129,"캘리포니아 골드 뉴트리션 California Gold Nutrition LactoBif 프로바이오틱, 300억 CFU, 베지 캡슐 60정",22579,,영양제,프로바이오틱스,25368,20210209,
130,데이즈온 오한진 프리바이오틱스 FOS 플러스 유산균먹이 프로바이오틱스 유산균 아연 [옵션선택],54900,데이즈온,영양제,프리바이오틱스,25339,20170125,"장건강유산균,유산균"
131,베스처 오메가3 프리미엄1200 6개월 미국직수입 비타민D,24000,BESTURE,영양제,오메가3,25183,20200313,
132,프리미엄 루테인 지아잔틴 눈에좋은 영양제 눈 눈건강,39900,,영양제,루테인,25161,20210312,
133,트루락 이브 질 유래 유산균 장건강 면역 1BOX,46000,휴럼,영양제,프로바이오틱스,25114,20190409,
134,모유 유산균 신바이오틱스 프리바이오틱스 바이오스틱 프롤린유래 lgg 가루,19800,포스트모던,영양제,프로바이오틱스,24921,20190403,"성인유산균,장에좋은유산균,여성유산균,아기유산균,유아유산균,신생아유산균,임산부유산균,골드,피부유산균,질좋은"
135,유산균 플러스 2g x 30포,42000,아임비오,영양제,프로바이오틱스,24729,20180423,
136,[본사직영] 고려은단 비타민C 1000 600정 (20개월분),43900,고려은단,비타민제,비타민C,24718,20170511,"건강한,간절기,50대,40대,시부모님사로잡을,선물용으로좋은,몸에좋은영양소,건강기능제품,몸에좋은영양제"
137,고려은단 비타민C 1000 이지(비타민C+D) 180정X2개,28900,고려은단,비타민제,비타민C,24629,20200203,"먹기편한,선물용으로좋은,몸에좋은영양소,건강기능제품,헬씨,건강한,몸에좋은영양제,비타민C"
138,닥터프로바/마이카인드 유아동 비타민 오메가3 유산균 외,25480,,영양제,프로바이오틱스,23984,20181112,
139,GNM자연의품격 건조한눈엔 루테인 + 오메가3 4박스(총 4개월분),17900,GNM자연의품격,영양제,루테인,23972,20210105,
140,엽산 400 300mg x 60정,34980,뉴트리코어,영양제,엽산,23914,20170602,
141,프로스랩 여성 핑크 프로바이오틱스 질 건강 기능성 유산균 리스펙타,49000,프로스랩,영양제,프로바이오틱스,23899,20181029,여성유산균
142,"[허벌라이프] 포뮬라1,허벌티,알로에겔,듀오등 전제품 판매",59500,허벌라이프,영양제,알로에정/겔,23585,20181101,
143,내 몸 건강 케어! 콜라겐/프로틴/비타민/유산균,72540,,영양제,프로바이오틱스,23158,20201215,
144,[덤.주.쇼] BEST 식품/리빙 한자리에 다 모였다!,165540,,영양제,,22778,20191220,
145,프리미엄 리얼메디 크릴오일 500mg x 30캡슐,16620,JW중외제약,영양제,크릴오일,22752,20191014,
146,"나우푸드 Now Foods High Potency Vitamin D-3, 10,000 IU, 240 Softgels",20100,,영양제,,22721,20210210,
147,[BEST] 여에스더 유산균 클래식 모아보기,59000,에스더포뮬러,영양제,프로바이오틱스,22690,20190402,"유산균효과,유산균영양제,프로바이오틱스"
148,에스더포뮬러 여에스더 유산균 클래식 4개월분 2병,59000,에스더포뮬러,영양제,프로바이오틱스,22669,20190808,"유산균효과,유산균영양제"
149,[덴프스] 덴마크 유산균 이야기 6병(12개월분),178200,덴프스,영양제,프로바이오틱스,22524,20200309,"설사,장,유산균,배변,유산균,장건강"
150,"[신현준 영양제] 꾸미바이트 4종 중 택1 비타민 어린이비타민 칼슘비타민D 오메가3 아연+비타민 C,D",9900,꾸미바이트,비타민제,멀티비타민,22402,20170629,"초등학생,30대,40대"
151,이성경 코엔자임Q10 코엔자임큐텐 코큐텐 4개월분 GNM자연의품격,31900,GNM자연의품격,영양제,코큐텐,22220,20160707,코큐텐
152,칼슘 마그네슘 아연 비타민D 1000mg x 180정,10110,GNM자연의품격,영양제,칼슘,22098,20160912,
153,안국 눈에 좋은 루테인 플러스 500mg x 60캡슐,11790,안국건강,영양제,루테인,21564,20180707,
154,건강기능 행사모음(유산균/오메가/루테인/홍삼정)[오반장],10800,,영양제,프로바이오틱스,21506,20210318,
155,건강기능 행사모음(유산균/오메가/루테인/홍삼정)[오반장],10800,,영양제,프로바이오틱스,21506,20210318,
156,철분제 500mg x 60정,38370,뉴트리코어,영양제,철분,21456,20190423,
157,면역력 강화 프로젝트! 유산균/콜라겐/루테인/관절연골,109740,,영양제,루테인,21392,20200926,
158,"프리미엄 프로폴리스, 추천 플라보노이드 함유, 항산화 작용, 면역력 증가",44000,,영양제,프로폴리스,21373,20210317,
159,"갱년기 영양제 추천, 폐경기 여성 건강식품, 피로회복",65000,,홍삼,,21336,20210317,
160,GNM자연의품격 칼슘 마그네슘 아연 비타민D 2통/6개월분,19900,GNM자연의품격,영양제,칼슘,21146,20210104,
161,[조정석밀크씨슬]GNM 건강한 간 밀크씨슬 실리마린 4박스 (총 4개월분) /루테인/유산균/프로폴리스,17720,GNM자연의품격,영양제,밀크씨슬,20833,20140604,
162,관절연골 엔 보스웰리아 850mg x 30정,15900,프롬바이오,영양제,보스웰리아,20754,20171026,
163,"곤약 세라마이드+히알라스킨 먹는 인도 곤약감자추출물 히알루론산 /콜라겐,엘라스틴(부)",75800,파이토뉴트리,영양제,기타건강보조식품,20314,20181214,"피부영양제,기타건강기능식품"
164,[10+15%쿠/폰] 종근당건강 아이케어 오메가3 2병 6개월,28340,종근당건강,영양제,오메가3,20231,20100821,
165,대상웰라이프 뉴케어 1개 골라담기 환자영양식 식사대용 구수한맛 액티브 단백질 당플랜 미니 당뇨식 하이프로틴 고소한 검은깨 마이키즈 오메가 딸기 암환자 영양식,1350,뉴케어,영양제,환자식/영양보충식,20221,20170914,"건강한간식,몸에좋은영양제,균형영양식,환자영양식,간단한식사,선물하기좋은영양제,건강에좋은음식"
166,골드 프로바이오틱스 329mg x 60캡슐,50000,셀티아이,영양제,프로바이오틱스,20148,20190702,
167,식물성 알티지오메가3(1개월분),59000,뉴트리코어,영양제,오메가3,11157,20210318,
168,곤약 세라마이드 - 먹는 인도 곤약감자 세라미드 추출물 피부영양제품 이너뷰티 비오틴(부),36500,파이토뉴트리,영양제,기타건강보조식품,20069,20180206,"피부영양공급,피부영양제,피부장벽강화,기타건강보조식품"
169,유기농 프리바이오틱스 패밀리 6g x 30개입,22000,프로스랩,영양제,프리바이오틱스,20055,20181129,
170,추운 날씨 건강 관리 필수! 오메가3/프로틴/홍삼/유산균,169840,,영양제,프로바이오틱스,19935,20201113,
171,크릴오일 1000mg x 30캡슐,20640,크릴56,영양제,크릴오일,19836,20190131,
172,눈건강 루테인 지아잔틴 600mg x 60캡슐,21270,안국건강,영양제,루테인,19798,20190227,
173,"나를 위한 선택, 건강식품 모음전",165540,,영양제,환자식/영양보충식,19503,20210128,
174,아이편안 루테인 지아잔틴 500mg x 30캡슐,10730,휴럼,영양제,루테인,19493,20180818,
175,크릴오일 1000mg x 30캡슐,18800,네이처드림,영양제,크릴오일,19459,20190215,
176,피토틱스 옐로우 500mg x 30캡슐,19500,피토틱스,영양제,프로바이오틱스,19167,20191023,
177,"크릴오일 캡슐 1,000mg x 30캡슐 1박스 인지질함량 58%이상 / 3+1이벤트",19900,네이처드림,영양제,크릴오일,19084,20190211,"크릴,EPA,DHA,50대,60대이상,크릴오일"
178,종근당건강 종근당건강 + 인기유산균 BEST,61580,종근당건강,영양제,프로바이오틱스,19083,20201217,
179,안국 눈에좋은 루테인 플러스 60캡슐 1개,16900,안국건강,영양제,루테인,19063,20130114,종합영양제
180,추운 겨울 건강 영양 관리 필수! 루테인/프로틴/콜라겐,138990,,영양제,루테인,19052,20201217,
181,100억 유산균+아연+비타민D ’아임비오유산균플러스’ (1개월) 아기유산균,42000,아임비오,영양제,프로바이오틱스,18985,20191017,
182,100억 유산균+아연+비타민D ’아임비오유산균플러스’ (1개월) 아기유산균,42000,아임비오,영양제,프로바이오틱스,18985,20180420,"임산부유산균,유아유산균,신생아유산균,프로바이오틱스"
183,재로우 우먼 펨-도필러스 유산균 베지테리안 캡슐,15890,,영양제,프로바이오틱스,18865,20190508,"유산균,생유산균"
184,브랜드 없음 든든한 내몸을 지키기 위한 건강식품 BEST전,38130,,영양제,루테인,18840,20210127,
185,풍성한 추석맞이 식품 미리 주문 적립 찬스!,109740,락토핏,영양제,,18825,20210122,
186,[독일] 자노닥트 비오라보 비어헤페 맥주 효모 400정 6개 묶음,16800,비오라보,영양제,효모,18779,20160609,
187,뉴트리원 [설 프리미엄] 20% 적립 뉴트리원/함소아/오한진 인기 건강식품 특집,40490,뉴트리원,영양제,스피루리나,18609,20190731,
188,뉴트리코어 철분제 임신 출산후 NCS,59000,뉴트리코어,영양제,철분,18553,20160415,
189,뉴트리코어 철분제 2개월분,59000,뉴트리코어,영양제,철분,18545,20190808,
190,칼슘 마그네슘 비타민D 1300mg x 90정,43980,뉴트리코어,영양제,칼슘,18495,20190423,
191,데이즈온 오한진 프리바이오틱스 FOS 플러스 5개월 유산균먹이,82770,데이즈온,영양제,프리바이오틱스,18422,20170729,유산균먹이
192,프리미엄 캐나다 비타민B 12 컴플렉스 만성피로 비타민비 추천 영양제 B6,39900,,비타민제,비타민B,18406,20210312,"비타민b,비타민b12,비타민b1,비타민b6,비타민b영양제"
193,베베 데일리 프로바이오틱스 앤 비타민D 7.5ml,48000,트루락,영양제,프로바이오틱스,18262,20190319,
194,칼슘 마그네슘 비타민D 영양제 뼈에좋은영양제,48000,뉴트리코어,영양제,칼슘,18224,20170303,"몸에좋은영양소,몸에좋은영양제,뼈에좋은영양제"
